userdate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
../stats/daily/2020-03-11.csv:Armando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,24,11,1,10,17,8,0,2,80
../stats/daily/2020-03-12.csv:Armando,26,0,0,0,0,7,0,0,0,0,0,0,0,28,26,17,0,11,6,10,12,5,8,15,171
../stats/daily/2020-03-13.csv:Armando,3,3,4,13,6,3,0,0,0,0,0,0,13,0,36,23,27,20,20,6,25,15,19,0,236
../stats/daily/2020-03-14.csv:Armando,31,8,15,0,0,2,0,0,0,1,1,32,41,20,11,0,7,8,3,23,23,15,34,6,281
../stats/daily/2020-03-15.csv:Armando,41,3,0,0,0,0,0,0,2,2,0,0,11,0,5,25,21,9,1,22,53,59,4,0,258
../stats/daily/2020-03-16.csv:Armando,0,0,0,19,3,0,0,0,0,0,0,9,6,22,9,14,20,0,36,56,17,9,17,14,251
../stats/daily/2020-03-17.csv:Armando,3,6,2,2,0,0,0,0,0,0,0,0,8,11,9,22,6,18,10,2,5,7,13,20,144
../stats/daily/2020-03-18.csv:Armando,18,4,4,0,0,0,0,0,0,3,18,7,9,30,34,31,44,1,8,1,3,10,6,6,237
../stats/daily/2020-03-19.csv:Armando,19,3,2,0,1,0,0,0,0,0,0,0,0,8,4,15,7,7,17,3,19,5,8,0,118
../stats/daily/2020-03-20.csv:Armando,0,0,22,2,1,0,0,0,0,0,0,22,4,20,31,22,10,28,9,10,52,6,7,3,249
../stats/daily/2020-03-21.csv:Armando,6,18,9,1,3,0,0,0,0,0,0,0,7,16,0,0,0,1,20,16,15,3,3,3,121
../stats/daily/2020-03-22.csv:Armando,15,8,1,8,0,3,2,0,0,0,0,0,0,0,6,1,5,15,4,0,4,0,3,24,99
../stats/daily/2020-03-23.csv:Armando,1,12,2,1,0,0,0,0,0,0,0,4,9,53,6,39,15,17,2,8,0,8,15,32,224
../stats/daily/2020-03-24.csv:Armando,13,0,0,0,0,0,0,0,0,0,8,3,3,0,1,2,5,14,4,7,0,1,7,5,73
../stats/daily/2020-03-25.csv:Armando,2,1,2,0,15,0,0,0,0,0,0,11,12,21,0,5,9,5,6,2,3,4,8,7,113
../stats/daily/2020-03-26.csv:Armando,7,7,1,0,2,0,0,0,0,0,0,0,1,22,14,11,0,20,6,6,8,12,11,0,128
../stats/daily/2020-03-27.csv:Armando,8,3,2,0,0,0,0,0,0,0,0,0,55,7,27,15,11,18,9,7,18,22,18,2,222
../stats/daily/2020-03-28.csv:Armando,9,7,9,31,1,0,0,0,0,0,1,0,0,2,0,11,9,17,11,5,8,5,0,28,154
../stats/daily/2020-03-29.csv:Armando,18,14,89,59,3,0,0,0,0,2,2,46,17,21,5,8,5,4,16,28,23,2,3,31,396
../stats/daily/2020-03-30.csv:Armando,3,4,0,0,0,0,0,0,2,0,4,8,40,13,8,0,35,8,11,4,19,1,21,13,194
../stats/daily/2020-03-31.csv:Armando,5,4,5,0,1,0,0,0,0,0,0,0,0,2,36,22,4,8,1,34,24,20,6,11,183
../stats/daily/2020-04-01.csv:Armando,0,8,2,7,4,13,3,1,0,0,0,1,0,4,0,0,15,41,28,26,26,5,23,50,257
../stats/daily/2020-04-02.csv:Armando,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55,21,16,19,17,8,19,21,235
../stats/daily/2020-04-03.csv:Armando,20,3,7,0,10,52,17,0,0,0,0,0,1,17,6,1,2,0,0,0,0,0,0,0,136
